Mods count: 297
 
                                           jar name                                             |    notes     |                mod id                |                                   mod name                                   |       mod version        |                                                                                                                                                                                                                                  mixin configs                                                                                                                                                                                                                                  |              modrinth hash               | curseforge hash
bookshelf-neoforge-1.21.1-21.1.81.jar                                                           |              | bookshelf                            | Bookshelf                                                                    | 21.1.81                  | bookshelf.neoforge.mixins.json, bookshelf.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                           | efc4cda6da4dd879f24d057ed0a6413764c9ba40 | 2267427357     
born_in_chaos_[Neoforge]_1.21.1_1.7.6.jar                                                       | MCreator mod | born_in_chaos_v1                     | Born in Chaos                                                                | 1.7.6                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 73704f38ac368c03716f9cc8f537470d3b352fa2 | 3903347215     
borninconfiguration-3.2.2.jar                                                                   |              | borninconfiguration                  | Born In Configuration                                                        | 3.2.2                    | borninconfiguration.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                 | c334e3f780d4347e2a12524770354e93a9d6fcce | 268118763      
BrewinAndChewin-neoforge-4.5.0+1.21.1.jar                                                       |              | brewinandchewin                      | Brewin' And Chewin'                                                          | 4.5.0                    | brewinandchewin.mixins.json, brewinandchewin.neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                               | bc86c776779b16dec386f4b667ff46d9e2ecb88d | 1027207807     
    /META-INF/jars/asyncutil-0.1.0.jar                                                          |              |                                      |                                                                              |                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                          |                
    /META-INF/jars/caffeine-3.2.1.jar                                                           |              |                                      |                                                                              |                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                          |                
    /META-INF/jars/exp4j-0.4.8.jar                                                              |              |                                      |                                                                              |                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                          |                
    /META-INF/jars/jctools-core-4.0.5.jar                                                       |              |                                      |                                                                              |                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                          |                
    /META-INF/jars/reactive-streams-1.0.4.jar                                                   |              |                                      |                                                                              |                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                          |                
    /META-INF/jars/rxjava-3.1.12.jar                                                            |              |                                      |                                                                              |                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                          |                
    /META-INF/jars/tests-mc1.21.1-0.4.0-alpha.0.113.jar                                         |              |                                      |                                                                              |                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                          |                
cataclysm_dimension-neoforge1.21.1-1.5.5.jar                                                    |              | cataclysm_dimension                  | Cataclysm Dimension                                                          | 1.5.5                    | cataclysm_dimension.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 023db20a1c2fefbf41d3f9c7a5e9ae46e1e77dbe | 2095963621     
cataclysm_spellbooks-1.1.11-1.21.jar                                                            |              | cataclysm_spellbooks                 | Cataclysm: Spellbooks                                                        | 1.1.11-1.21              | cataclysm_spellbooks.mixin.json                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 0ebfb1fec53e8188ca1591792590f95a283f79b4 | 834934686      
cataclysm_tools-2.0.0-neoforge-1.21.1.jar                                                       | MCreator mod | cataclysm_tools                      | Cataclysm Tools                                                              | 2.0.0                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 19934cbcf8715a397cc47795cfdbcc7e3bff485c | 2308794085     
