Mods count: 297
 
                                           jar name                                             |    notes     |                mod id                |                                   mod name                                   |       mod version        |                                                                                                                                                                                                                                  mixin configs                                                                                                                                                                                                                                  |              modrinth hash               | curseforge hash
    /META-INF/jarjar/jankson-1.2.3.jar                                                          |              |                                      |                                                                              |                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                          |                
ecologics-1.21.1-2.3.7.jar                                                                      |              | ecologics                            | Ecologics                                                                    | 2.3.7                    | ecologics-common.mixins.json, ecologics.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                             | 3cf395ba5facd56917accc6563f7819f4e39c941 | 933686862      
ender_dragon_loot-1.21.1.jar                                                                    | MCreator mod | ender_dragon_loot                    | Ender Dragon Loot 1.21.1                                                     | 1.0.0                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 66871c4c0838e3c6de625765a3450c82279e52a7 | 2643413502     
endrem-neoforge-1.21.X-6.0.2.jar                                                                |              | endrem                               | End Remastered                                                               | 6.0.2                    | endrem.mixins.json, endrem.neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                 | bfba2c654f3df8cc7d6006056eefbf2b9070dcd4 | 1197693341     
ends_delight-2.6.1+neoforge.1.21.1.jar                                                          |              | ends_delight                         | End's Delight                                                                | 2.6.1+neoforge.1.21.1    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 0613a535d82b7a3d51d0caf0e04b082cb4c062e9 | 340962559      
entityculling-neoforge-1.10.5-mc1.21.1.jar                                                      |              | entityculling                        | EntityCulling                                                                | 1.10.5                   | entityculling.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 420d0006dbc0a20b1c2dd0b3c7c20ddb5cc51fcf | 2247657042     
eternal_starlight_delight-neoforge-1.3.0.jar                                                    |              | eternal_starlight_delight            | Eternal Starlight's Delight                                                  | 1.3.0                    | eternal_starlight_delight.mixins.json, eternal_starlight_delight-neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                           | 873e62c709c087b31f82a0bbb654c894efc8e382 | 576481633      
eternalstarlight-0.8.1+1.21.1+neoforge.jar                                                      |              | eternal_starlight                    | Eternal Starlight                                                            | 0.8.1+1.21.1+neoforge    | eternal_starlight-common.mixins.json, eternal_starlight.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                             | 7deb37b78198efafb053ca84551b3a7d573a2737 | 2955342771     
expandeddelight-0.1.4.jar                                                                       |              | expandeddelight                      | Expanded Delight                                                             | 0.1.4                    | expandeddelight.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                     | cf26fe18c3a9deec525fe0f0e7c2d3b9f4e9f484 | 1639985402     
ExplorersCompass-1.21.1-3.4.0-neoforge.jar                                                      |              | explorerscompass                     | Explorer's Compass                                                           | 1.21.1-3.4.0-neoforge    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 9f62af344988a6e2d855b113e61cf0e1611c7e0f | 2243555533     
faewulf_lib-neoforge-1.21.1-1.3.2.jar                                                           |              | faewulf_lib                          | Faewulf's Lib                                                                | 1.3.2                    | faewulf_lib.mixins.json, faewulf_lib.client.mixins.json, faewulf_lib.neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                       | ccfdd25a38f31544a8e5859c3a015dd8a9acf4d5 | 265600761      
    /META-INF/jarjar/japng-0.5.3.jar                                                            |              |                                      |                                                                              |                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                          |                
    /META-INF/jarjar/animated-gif-lib-for-java-animated-gif-lib-1.7.jar                         |              |                                      |                                                                              |                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                          |                
FarmersDelight-1.21.1-1.3.2.jar                                                                 |              | farmersdelight                       | Farmer's Delight                                                             | 1.3.2                    | farmersdelight.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                      | bf7e7dede99e832de20e191b1f6c11f7a9b9a622 | 2979096389     
farmerspizzeria-1.3.0-neoforge-1.21.1.jar                                                       |              | farmerspizzeria                      | Farmer's Pizzeria                                                            | 1.3.0                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 49994ab18a5371c7cd1302c85155e43e7502f136 | 4102105261     
FazRoleplayClothes-Neo1.21.1-1.6.1.jar                                                          | MCreator mod | faz_roleplay_plus                    | Faz Roleplay Plus                                                            | 0.0.1                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | d82a48b3e830611a4bd9e006193f1bc30f19cc8b | 2747658694     
fdbosses-3.2-1.21.1.jar                                                                         |              | fdbosses                             | Qliphoth Awakening                                                           | 3.2                      | fdbosses.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                            | e42079e55eb25ba1fc0b16ce86c627b7a3d36fdb | 3891734099     
fdlib-1.0.9-1.21.1.jar                                                                          |              | fdlib                                | FDLib                                                                        | 1.0.9                    | fdlib.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                               | 03a171d170b22a04e67d2cc7894ddddd8489a295 | 1884079549     
ferritecore-7.0.3-neoforge.jar                                                                  |              | ferritecore                          | Ferrite Core                                                                 | 7.0.3                    | ferritecore.modelsides.mixin.json, ferritecore.mrl.mixin.json, ferritecore.dedupbakedquad.mixin.json, ferritecore.threaddetec.mixin.json, ferritecore.datacomponents.mixin.json, ferritecore.blockstatecache.mixin.json, ferritecore.dedupmultipart.mixin.json, ferritecore.accessors.mixin.json, ferritecore.fastmap.mixin.json, ferritecore.predicates.mixin.json                                                                                                             | 9563692efb708b6b568df27a01ec52f6311928ef | 2808038058     
    /META-INF/jarjar/fabric-api-base-0.4.42+d1308ded19.jar                                      |              | fabric_api_base                      | Forgified Fabric API Base                                                    | 0.4.42+d1308ded19        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                          |                
    /META-INF/jarjar/fabric-block-view-api-v2-1.0.10+9afaaf8c19.jar                             |              | fabric_block_view_api_v2             | Forgified Fabric BlockView API (v2)                                          | 1.0.10+9afaaf8c19        | fabric-block-view-api-v2.client.mixins.json, fabric-block-view-api-v2.mixins.json                                                                                                                                                                                                                                                                                                                                                                                               |                                          |                
    /META-INF/jarjar/fabric-renderer-api-v1-3.4.1+9125b6dc19.jar                                |              | fabric_renderer_api_v1               | Forgified Fabric Renderer API (v1)                                           | 3.4.1+9125b6dc19         | fabric-renderer-api-v1.debughud.mixins.json, fabric-renderer-api-v1.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                 |                                          |                
    /META-INF/jarjar/fabric-rendering-data-attachment-v1-0.3.48+73761d2e19.jar                  |              | fabric_rendering_data_attachment_v1  | Forgified Fabric Rendering Data Attachment (v1)                              | 0.3.48+73761d2e19        | fabric-rendering-data-attachment-v1.client.mixins.json, fabric-rendering-data-attachment-v1.mixins.json                                                                                                                                                                                                                                                                                                                                                                         |                                          |                
    /META-INF/jarjar/luaj-core-3.0.8-figura.jar                                                 |              |                                      |                                                                              |                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                          |                
    /META-INF/jarjar/yet-another-config-lib-3.6.6+1.21.1-neoforge.jar                           |              | yet_another_config_lib_v3            | YetAnotherConfigLib                                                          | 3.6.6+1.21.1-neoforge    | yacl.mixins.json, yacl-fabric.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                       |                                          |                
        /META-INF/jarjar/common-io-3.12.0.jar                                                   |              |                                      |                                                                              |                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                          |                
        /META-INF/jarjar/imageio-metadata-3.12.0.jar                                            |              |                                      |                                                                              |                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                          |                
        /META-INF/jarjar/gson-0.2.1.jar                                                         |              |                                      |                                                                              |                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                          |                
        /META-INF/jarjar/imageio-webp-3.12.0.jar                                                |              |                                      |                                                                              |                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                          |                
        /META-INF/jarjar/common-image-3.12.0.jar                                                |              |                                      |                                                                              |                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                          |                
        /META-INF/jarjar/imageio-core-3.12.0.jar                                                |              |                                      |                                                                              |                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                          |                
        /META-INF/jarjar/common-lang-3.12.0.jar                                                 |              |                                      |                                                                              |                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                          |                
        /META-INF/jarjar/json-0.2.1.jar                                                         |              |                                      |                                                                              |                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                          |                
    /META-INF/jarjar/luaj-jse-3.0.8-figura.jar                                                  |              |                                      |                                                                              |                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                          |                
framework-neoforge-1.21.1-0.13.11.jar                                                           |              | framework                            | Framework                                                                    | 0.13.11                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | e46eb138fbb13a12f37154fb4ec407d64b326475 | 1313912180     
ftb-library-neoforge-2101.1.32.jar                                                              |              | ftblibrary                           | FTB Library                                                                  | 2101.1.32                | ftblibrary-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 836411988409e166020db2914cab5d4f93466fc4 | 3562733026     
FungiDelight-1.21.1-1.3.jar                                                                     |              | fungidelight                         | Fungi Delight                                                                | 1.3                      | fungidelight.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                        | 823e15ce8eec094a97f7d05d3edb47b0eb1a820f | 306083082      
    /META-INF/jars/jankson-1.2.3.jar                                                            |              |                                      |                                                                              |                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                          |                
    /META-INF/jars/tomlkt-jvm-0.3.7.jar                                                         |              |                                      |                                                                              |                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                          |                
geckolib-neoforge-1.21.1-4.9.2.jar                                                              |              | geckolib                             | GeckoLib 4                                                                   | 4.9.2                    | geckolib.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                            | 14c64013cadee7d28f3685f94350f9a4d2ec6d86 | 3926185248     
gliders-1.21.1-neoforge-1.1.8.jar                                                               |              | vc_gliders                           | Gliders                                                                      | 1.1.8                    | vc_gliders-common.mixins.json, vc_gliders.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                           | f68e8fa4fb1a126cfb660df32fb009b2cc900c6b | 2392891307     
goblintraders-neoforge-1.21.1-1.11.2.jar                                                        |              | goblintraders                        | Goblin Traders                                                               | 1.11.2                   | goblintraders.common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                | 4507faefb977321b598daa3fb35d7e1a9a03eb80 | 567055158      
hallowcostumes-1.21.1neo-1.1.0.0.jar                                                            |              | hallowcostumes                       | Hallow Costumes                                                              | 1.1.0.0                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 13ed9b4c0c7906506983dde226231ce306f8f43e | 3792763570     
herios_helian_mod-1.3.3-neoforge-1.21.1.jar                                                     | MCreator mod | herios_helian_mod                    | Herios' Helian Mod                                                           | 1.3.3                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | ee8c83beccca878069d0125523617b726ea93888 | 809807438      
horseman-neoforge-1.21.1-1.5.11.jar                                                             |              | horseman                             | Horseman                                                                     | 1.5.11                   | horseman-common.mixins.json, horseman-neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                      | f9d06beb80df16db68aab0f247ca69ff4a06d002 | 689835433      
ImmediatelyFast-NeoForge-1.6.11+1.21.1.jar                                                      |              | immediatelyfast                      | ImmediatelyFast                                                              | 1.6.11+1.21.1            | immediatelyfast-common.mixins.json, immediatelyfast-neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                        | 6594ea2759455f4e135b9479f807bacf4b4b0b43 | 4121614865     
    /META-INF/jars/Reflect-1.6.2.jar                                                            |              |                                      |                                                                              |                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                          |                
immersive_armors-1.7.6+1.21.1-neoforge.jar                                                      |              | immersive_armors                     | Immersive Armors                                                             | 1.7.6+1.21.1             | immersive_armors.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 4c5762af46c0beac0830d1f1e9c88332b120ceaa | 1762469187     
immersive_paintings-neoforge-1.21.1-0.7.8.jar                                                   |              | immersive_paintings                  | Immersive Paintings                                                          | 0.7.8                    | immersive_paintings.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 2a8ddb25e4206f3ca11fdffec3bdbde1ff1e6ae8 | 1169052306     
    /META-INF/jarjar/common-image-3.12.0.jar                                                    |              |                                      |                                                                              |                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                          |                
    /META-INF/jarjar/imageio-core-3.12.0.jar                                                    |              |                                      |                                                                              |                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                          |                
    /META-INF/jarjar/imageio-webp-3.12.0.jar                                                    |              |                                      |                                                                              |                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                          |                
    /META-INF/jarjar/common-lang-3.12.0.jar                                                     |              |                                      |                                                                              |                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                          |                
immersivemessages-neoforge-1.0.18-1.21.1.jar                                                    |              | immersivemessages                    | Immersive Messages API                                                       | 1.0.18                   | mixins.immersivemessages.json                                                                                                                                                                                                                                                                                                                                                                                                                                                   | b0f31d833ce76e9d57b5eb05bed1c34f61aaa7e7 | 1200960645     
Incendium_1.21.x_v5.4.4.jar                                                                     |              | incendium                            | Incendium                                                                    | 5.4.3                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | 40da6da25ec45c4d88447733255e4281b6f22fef | 2918974304     
iris-neoforge-1.8.14-beta.1+mc1.21.1.jar                                                        |              | iris                                 | Iris                                                                         | 1.8.14-beta.1+mc1.21.1   | mixins.iris.compat.sodium.json, mixins.iris.forge.json, iris-batched-entity-rendering.mixins.json, mixins.iris.devenvironment.json, mixins.iris.fixes.maxfpscrash.json, mixins.iris.json, mixins.iris.fantastic.json, mixins.iris.integrationtest.json, mixins.iris.vertexformat.json, mixins.iris.bettermipmaps.json, mixins.iris.compat.dh.json                                                                                                                               | 1bd129cf7bce65d6b1c0543045f0620c98a0f885 | 1155826160     
    /META-INF/jarjar/fabric-api-base-0.4.42+d1308ded19.jar                                      |              | fabric_api_base                      | Forgified Fabric API Base                                                    | 0.4.42+d1308ded19        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |                                          |                
    /META-INF/jarjar/fabric-block-view-api-v2-1.0.10+9afaaf8c19.jar                             |              | fabric_block_view_api_v2             | Forgified Fabric BlockView API (v2)                                          | 1.0.10+9afaaf8c19        | fabric-block-view-api-v2.client.mixins.json, fabric-block-view-api-v2.mixins.json                                                                                                                                                                                                                                                                                                                                                                                               |                                          |                
